<H> Aarhus <R> leader <T> Jacob_Bundsgaard || The leader of Aarhus is Jacob Bundsgaard.
<H> Aarhus_Airport <R> runway_length <T> 2702.0 || Aarhus Airport's runway length is 2702.0.
<H> Aarhus_Airport <R> runway_length <T> 2702.0 || The Aarhus Airport has a runway length of 2702.0.
<H> Adirondack_Regional_Airport <R> elevation_above_the_sea_level <T> 507 || Adirondack Regional Airport is 507 metres above sea level.
<H> Adirondack_Regional_Airport <R> location <T> Harrietstown,_New_York || Adirondack Regional airport is located at Harrietstown, New York.
<H> Adirondack_Regional_Airport <R> location <T> Harrietstown,_New_York || Adirondack Regional Airport is located in Harrietstown, New York.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> location <T> San_Sebastián_de_los_Reyes || Adolfo Suárez Madrid–Barajas Airport is found in San Sebastián de los Reyes.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> location <T> San_Sebastián_de_los_Reyes || Adolfo Suarez Madrid-Barajas airport is located at San Sebastian de los Reyes.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> location <T> San_Sebastián_de_los_Reyes || The Adolfo Suárez Madrid–Barajas Airport is in San Sebastián de los Reyes.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> runway_name <T> "14L/32R" || Adolfo Suárez Madrid-Barajas Airport runway name is 14L/32R.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> runway_name <T> "14L/32R" || The Adolfo Suárez Madrid–Barajas Airport runway name is 14L/32R.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> runway_name <T> "14L/32R" || 14L/32R is the runway name of Adolfo Suárez Madrid-Barajas Airport.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> runway_name <T> "14R/32L" || 14R/32L is the name of the runway for Adolfo Suárez Madrid–Barajas Airport.
<H> Adolfo_Suárez_Madrid–Barajas_Airport <R> runway_name <T> "14R/32L" || 14R/32L is the runway name of Adolfo Suárez Madrid-Barajas Airport.
<H> Afonso_Pena_International_Airport <R> operating_organisation <T> Infraero || The operating organization for Afonso Pena International Airport is Infraero.
<H> Afonso_Pena_International_Airport <R> operating_organisation <T> Infraero || Afonso Pena International Airport is operated by Infraero.
<H> Agra_Airport <R> location <T> Agra || Agra Airport is in Agra.
<H> Agra_Airport <R> location <T> Agra || Agra airport is located in Agra.
<H> Al-Taqaddum_Air_Base <R> elevation_above_the_sea_level <T> 84.0 || Al-Taqaddum Air Base is 84 metres above sea level.
<H> Al-Taqaddum_Air_Base <R> elevation_above_the_sea_level <T> 84.0 || Al Taqaddum Air Base is 84 metres above sea level.
<H> Al-Taqaddum_Air_Base <R> elevation_above_the_sea_level <T> 84.0 || The elevation above the sea level (in metres) of Al-Taqaddum Air Base is 84.0.
<H> Alderney_Airport <R> city_served <T> Alderney || The Alderney Airport serves Alderney.
<H> Alderney_Airport <R> city_served <T> Alderney || Alderney Airport serves the city of Alderney.
<H> Allama_Iqbal_International_Airport <R> runway_name <T> "18R/36L" || 18R/36L is the runway name at Allama Iqbal International airport.
<H> Allama_Iqbal_International_Airport <R> runway_name <T> "18R/36L" || Allama Iqbal International Airport has a runway named 18R/36L.
<H> Allama_Iqbal_International_Airport <R> runway_name <T> "18R/36L" || Allama Iqbal International Airport's runway name is "18R/36L".
<H> Alpena_County_Regional_Airport <R> runway_length <T> 1533.0 || The runway length of Alpena County Regional Airport is 1,533.
<H> Alpena_County_Regional_Airport <R> runway_length <T> 1533.0 || The runway length of Alpena County Regional airport is 1533.0.
<H> Alpena_County_Regional_Airport <R> runway_name <T> "1/19" || Alpena County Regional Airport runway name is 1/19.
<H> Alpena_County_Regional_Airport <R> runway_name <T> "1/19" || 1/19 is the runway name of Alpena County Regional Airport.
<H> Alpena_County_Regional_Airport <R> runway_name <T> "1/19" || The runway name of Alpena County Regional Airport is 1/19.
<H> Amsterdam_Airport_Schiphol <R> city_served <T> Amsterdam || Amsterdam Airport Schiphol serves the city of Amsterdam.
<H> Amsterdam_Airport_Schiphol <R> city_served <T> Amsterdam || Amsterdam airport, Schiphol serves the city of Amsterdam.
<H> Amsterdam_Airport_Schiphol <R> city_served <T> Amsterdam || Amsterdam Airport Schiphol serves Amsterdam.
<H> Andrews_County,_Texas <R> county_seat <T> Andrews,_Texas || Andrews County, Texas is country seat to Andrews, Texas.
<H> Andrews_County,_Texas <R> county_seat <T> Andrews,_Texas || Andrews, Texas is the country seat of Andrews County, Texas.
<H> Andrews_County,_Texas <R> county_seat <T> Andrews,_Texas || Andrews County, Texas has its county seat in Andrews, Texas.
<H> Andrews_County_Airport <R> city_served <T> Andrews,_Texas || Andrews, Texas is served by Andrews County Airport.
<H> Andrews_County_Airport <R> city_served <T> Andrews,_Texas || Andrews County Airport serves Andrews, Texas.
<H> Andrews_County_Airport <R> city_served <T> Andrews,_Texas || Andrews County Airport serves the city of Andrews in Texas.
<H> Andrews_County_Airport <R> runway_name <T> "11/29" || Andrews County Airport runway name is 11/29.
<H> Andrews_County_Airport <R> runway_name <T> "11/29" || 11/29 is the runway name of Andrews County Airport.
<H> Andrews_County_Airport <R> runway_name <T> "11/29" || The runway name of Andrews County Airport is 11/29.
<H> Andrews_County_Airport <R> runway_name <T> "Helipad" || The name of the runway at Andrews County Airport is Helipad.
<H> Andrews_County_Airport <R> runway_name <T> "Helipad" || Helipad is the runway name of Andrews County Airport.
<H> Andrews_County_Airport <R> runway_name <T> "Helipad" || The runway at Andrews County Airport is called Helipad.
<H> Angola_International_Airport <R> city_served <T> Luanda || Angola International Airport city served is Luanda.
<H> Angola_International_Airport <R> city_served <T> Luanda || Angola International Airport serves the city of Luanda.
<H> Angola_International_Airport <R> city_served <T> Luanda || Angola International Airport serves Luanda.
<H> Ardmore_Airport_(New_Zealand) <R> location <T> Auckland || The Ardmore Airport, New Zealand is in Auckland.
<H> Ardmore_Airport_(New_Zealand) <R> location <T> Auckland || Ardmore Airport is located in Auckland, New Zealand.
<H> Athens <R> mayor <T> Giorgos_Kaminis || Athens mayor is Giorgos Kaminis.
<H> Athens <R> mayor <T> Giorgos_Kaminis || Giorgos Kaminis is the mayor of Athens.
<H> Athens <R> mayor <T> Giorgos_Kaminis || The mayor of Athens is Giorgos Kaminis.
<H> Athens_International_Airport <R> location <T> Spata || Athens International Airport is in Spata.
<H> Athens_International_Airport <R> location <T> Spata || Athens International Airport is located in Spata.
<H> Belgium <R> language <T> German_language || Belgium language is German language.
<H> Belgium <R> language <T> German_language || German is the language of Belgium.
<H> Belgium <R> language <T> German_language || The language spoken is Belgium is German.
<H> Belgium <R> leader <T> Philippe_of_Belgium || Philippe of Belgium is the leader of Belgium.
<H> Belgium <R> leader <T> Philippe_of_Belgium || The leader of Belgium is Philippe of Belgium.
<H> Denmark <R> capital <T> Copenhagen || The capital of Denmark is Copenhagen.
<H> Denmark <R> capital <T> Copenhagen || Copenhagen is the capital of Denmark.
<H> Denmark <R> leader <T> Lars_Løkke_Rasmussen || Denmark's leader name is Lars Løkke Rasmussen.
<H> Denmark <R> leader <T> Lars_Løkke_Rasmussen || Lars Løkke Rasmussen leads Denmark.
<H> Denmark <R> leader <T> Lars_Løkke_Rasmussen || Lars Løkke Rasmussen is the leader of Denmark.
<H> Flemish_Region <R> leader <T> Flemish_Government || The Flemish region is led by the Flemish government.
<H> Flemish_Region <R> leader <T> Flemish_Government || The Flemish Government leads the Flemish Region.
<H> Greece <R> language <T> Greek_language || Greek is the language spoken in Greece.
<H> Greece <R> language <T> Greek_language || The language spoken in Greece is Greek.
<H> Greece <R> leader <T> Nikos_Voutsis || The leader of Greece is Nikos Voutsis.
<H> Harrietstown,_New_York <R> is_part_of <T> United_States || Harrietstown, New York is part of the United States.
<H> Harrietstown,_New_York <R> is_part_of <T> United_States || Harrietstown, N.Y. is part of the U.S.
<H> Pakistan <R> leader <T> Anwar_Zaheer_Jamali || The leader of Pakistan is Anwar Zaheer Jamali.
<H> Pakistan <R> leader <T> Anwar_Zaheer_Jamali || Pakistan has a leader called Anwar Zaheer Jamali.
<H> Paracuellos_de_Jarama <R> is_part_of <T> Community_of_Madrid || Paracuellos de Jarama is part of the community of Madrid.
<H> Port_Authority_of_New_York_and_New_Jersey <R> headquarter <T> Four_World_Trade_Center || Port Authority of New York and New Jersey headquarter is Four World Trade Center.
<H> Port_Authority_of_New_York_and_New_Jersey <R> headquarter <T> Four_World_Trade_Center || The Four World Trade Center is the headquarters of the Port Authority of New York and New Jersey.
<H> San_Sebastián_de_los_Reyes <R> country <T> Spain || San Sebastián de los Reyes is in Spain.
<H> San_Sebastián_de_los_Reyes <R> country <T> Spain || San Sebastian de los Reyes is located in Spain.
<H> Saranac_Lake,_New_York <R> is_part_of <T> United_States || Saranac Lake, New York is part of the United States.
<H> Saranac_Lake,_New_York <R> is_part_of <T> United_States || Saranac Lake, New York, is part of the United States.
<H> South_Jersey_Transportation_Authority <R> chief <T> Stephen_Dilts || South Jersey Transportation Authority chief is Stephen Dilts.
<H> South_Jersey_Transportation_Authority <R> chief <T> Stephen_Dilts || Stephen Dilts is the chief of the South Jersey Transportation Authority.
<H> South_Jersey_Transportation_Authority <R> chief <T> Stephen_Dilts || Stephen Dilts is the chief of South Jersey Transportation Authority.
<H> Aaron_Bertram <R> active_years_start_year <T> 1998 || Aaron Bertram started performing in 1998.
<H> Aaron_Deer <R> associated_band_/associated_musical_artist <T> The_Horns_of_Happiness || Aaron Deer collaborates with The Horns of Happiness.
<H> Aaron_Deer <R> associated_band_/associated_musical_artist <T> The_Horns_of_Happiness || Aaron Deer plays with The Horns of Happiness.
<H> Aaron_Turner <R> genre <T> Avant-garde_metal || Aaron Turner falls in the genre of avant-garde metal music.
<H> Aaron_Turner <R> genre <T> Avant-garde_metal || Aaron Turner performs avant-garde metal music.
<H> Aaron_Turner <R> genre <T> Avant-garde_metal || Aaron Turner also uses the musical genre Avant-garde metal.
<H> Aaron_Turner <R> genre <T> Black_metal || Aaron Turner performs black metal music.
<H> Aaron_Turner <R> genre <T> Black_metal || Aaron Turner is a Black metal musician.
<H> Aaron_Turner <R> genre <T> Black_metal || Black Metal is a genre of Aaron Turner's music.
<H> Aaron_Turner <R> origin <T> Boston || Aaron Turner originates from Boston.
<H> Aaron_Turner <R> origin <T> Boston || Aaron Turner was born in Boston.
<H> Aaron_Turner <R> origin <T> Boston || Aaron Turner is originally from Boston.
<H> Abradab <R> associated_band_/associated_musical_artist <T> Magik_(rapper) || Abradab is associated with Magik (rapper).
<H> Abradab <R> associated_band_/associated_musical_artist <T> Magik_(rapper) || Abradab is musically associated with the rapper Magik.
<H> Abradab <R> associated_band_/associated_musical_artist <T> Magik_(rapper) || Abradab is associated with the rapper Magik.
<H> Abradab <R> background <T> "solo_singer" || Abradab has a background as a solo singer.
<H> Abradab <R> background <T> "solo_singer" || Abradab's background is that of solo singer.
<H> Ace_Wilder <R> birth_date <T> 1982-07-23 || Ace Wilder was born on July 23, 1982.
<H> Ace_Wilder <R> birth_date <T> 1982-07-23 || Ace Wilder was born July 23, 1982.
<H> Ace_Wilder <R> birth_date <T> 1982-07-23 || Ace Wilder's date of birth is 1982-07-23.
<H> Ace_Wilder <R> record_label <T> EMI_Records || Ace Wilder is signed to the record label EMI Records.
<H> Ace_Wilder <R> record_label <T> EMI_Records || Ace Wilder' recording label is EMI records.
<H> Ace_Wilder <R> record_label <T> EMI_Records || Ace Wilder was signed to EMI Records.
<H> Agustín_Barboza <R> record_label <T> Philips_Records || Agustin Barboza is signed to Philips Records.
<H> Agustín_Barboza <R> record_label <T> Philips_Records || Agustin Barboza is signed to the record label of Philips Records.
<H> Agustín_Barboza <R> record_label <T> Philips_Records || Agustín Barboza is signed to Philips Records.
<H> Alan_Frew <R> associated_band_/associated_musical_artist <T> Glass_Tiger || Alan Frew plays with Glass Tiger.
<H> Alan_Frew <R> associated_band_/associated_musical_artist <T> Glass_Tiger || Alan Frew is a musician with the Glass Tiger band.
<H> Albennie_Jones <R> birth_place <T> Errata,_Mississippi || Albennie Jones was born in Errata Mississippi.
<H> Albennie_Jones <R> birth_place <T> Errata,_Mississippi || Albennie Jones was born in Errata, Mississippi.
<H> Aleksandra_Kovač <R> associated_band_/associated_musical_artist <T> Kornelije_Kovač || Aleksandra Kovac is associated with Kornelije Kovac.
